x,y,value
Christina Aguilera,The Pussycat Dolls,1
Meghan Trainor,Zara Larsson,1
Meghan Trainor,Rita Ora,1
Kesha,Nelly Furtado,1
Little Mix,Rita Ora,1
Little Mix,Zara Larsson,1
Bebe Rexha,Hailee Steinfeld,1
Bebe Rexha,Charli XCX,1
Ellie Goulding,Fifth Harmony,1
Bella Thorne,Selena Gomez & The Scene,1
Avril Lavigne,P!nk,1
Britney Spears,Miley Cyrus,1
P!nk,Spice Girls,1
Kesha,Selena Gomez & The Scene,1
Bebe Rexha,Fifth Harmony,1
Ellie Goulding,Lady Gaga,1
Demi Lovato,Selena Gomez,1
Avril Lavigne,JoJo,1
Christina Aguilera,Destiny's Child,1
Christina Aguilera,Ciara,1
Camila Cabello,Zara Larsson,1
Demi Lovato,Katy Perry,1
Demi Lovato,Dua Lipa,1
Dua Lipa,Harry Styles,1
Bebe Rexha,Lady Gaga,1
Justin Timberlake,P!nk,1
Charli XCX,Kesha,1
Demi Lovato,Miley Cyrus,1
Cher Lloyd,Little Mix,1
Britney Spears,Kesha,1
Meghan Trainor,Miley Cyrus,1
Miley Cyrus,Zara Larsson,1
Camila Cabello,Selena Gomez,1
Hilary Duff,Kesha,1
Camila Cabello,Dua Lipa,1
Joe Jonas,Selena Gomez & The Scene,1
Black Eyed Peas,P!nk,1
Nick Jonas,Selena Gomez & The Scene,1
Fifth Harmony,Iggy Azalea,1
Anne-Marie,Ellie Goulding,1
Alessia Cara,Little Mix,1
Jessie J,Kelly Clarkson,1
Miley Cyrus,Selena Gomez,1
P!nk,The Pussycat Dolls,1
Little Mix,Olly Murs,1
Little Mix,Mabel,1
Kesha,Lady Gaga,1
Jonas Brothers,Selena Gomez & The Scene,1
Jessie J,The Pussycat Dolls,1
Ava Max,Sia,1
Christina Aguilera,Kesha,1
Avril Lavigne,Gwen Stefani,1
Anne-Marie,Fifth Harmony,1
Kelly Clarkson,Lady Gaga,1
Clean Bandit,Dua Lipa,1
Little Mix,Meghan Trainor,1
Katy Perry,Lady Gaga,1
Ellie Goulding,Iggy Azalea,1
Christina Perri,P!nk,1
Britney Spears,P!nk,1
Little Mix,Sabrina Carpenter,1
Carrie Underwood,Kelly Clarkson,1
Cher Lloyd,Jessie J,1
Bebe Rexha,Iggy Azalea,1
Ellie Goulding,Nick Jonas,1
Avril Lavigne,Jessie J,1
Iggy Azalea,Jessie J,1
Camila Cabello,ZAYN,1
Bebe Rexha,Nick Jonas,1
Alessia Cara,Demi Lovato,1
Demi Lovato,Zendaya,1
Anne-Marie,Meghan Trainor,1
Camila Cabello,Charlie Puth,1
Avril Lavigne,Hilary Duff,1
Meghan Trainor,Zendaya,1
Little Mix,Zendaya,1
Camila Cabello,Shawn Mendes,1
Lady Gaga,Sia,1
Alessia Cara,Ellie Goulding,1
Halsey,Sia,1
Fergie,Jessie J,1
Avril Lavigne,The Veronicas,1
Cher Lloyd,Fifth Harmony,1
Jessica Simpson,Kelly Clarkson,1
Adele,Sia,1
Christina Aguilera,P!nk,1
Ashlee Simpson,Avril Lavigne,1
Ellie Goulding,Kelly Clarkson,1
Christina Aguilera,Leona Lewis,1
Jordin Sparks,Kelly Clarkson,1
Jonas Brothers,Meghan Trainor,1
Jessie J,Kesha,1
Anne-Marie,Sia,1
Demi Lovato,Little Mix,1
Ava Max,Bebe Rexha,1
Alessia Cara,Fifth Harmony,1
Lindsay Lohan,Selena Gomez & The Scene,1
Kesha,Spice Girls,1
Britney Spears,Gwen Stefani,1
Adam Lambert,P!nk,1
Bebe Rexha,Zara Larsson,1
Kelly Clarkson,Spice Girls,1
Dua Lipa,Shawn Mendes,1
Jennifer Lopez,Kesha,1
Little Mix,Louis Tomlinson,1
Demi Lovato,Rita Ora,1
Alessia Cara,Meghan Trainor,1
Britney Spears,Christina Aguilera,1
Britney Spears,Katy Perry,1
Christina Perri,Jessie J,1
Christina Perri,Ellie Goulding,1
Avril Lavigne,Fergie,1
Bebe Rexha,Selena Gomez,1
Britney Spears,Jessica Simpson,1
Demi Lovato,Selena Gomez & The Scene,1
Christina Aguilera,Gwen Stefani,1
Bebe Rexha,Daya,1
Bebe Rexha,Dua Lipa,1
Britney Spears,Jennifer Lopez,1
Britney Spears,Hilary Duff,1
Kesha,The Pussycat Dolls,1
Christina Aguilera,Nicole Scherzinger,1
Jessie J,P!nk,1
Alicia Keys,P!nk,1
Camila Cabello,Rita Ora,1
Selena Gomez,ZAYN,1
Bebe Rexha,Miley Cyrus,1
Demi Lovato,Jessie J,1
Demi Lovato,Ellie Goulding,1
Hannah Montana,Miley Cyrus,1
Jessie J,Leona Lewis,1
Fifth Harmony,Lauren Jauregui,1
Nelly Furtado,P!nk,1
Katy Perry,Kelly Clarkson,1
Selena Gomez,Shawn Mendes,1
Avril Lavigne,Christina Perri,1
Christina Aguilera,Katy Perry,1
Anne-Marie,Bebe Rexha,1
Kelly Clarkson,The Pussycat Dolls,1
Sam Smith,Sia,1
Camila Cabello,Demi Lovato,1
Miley Cyrus,Rita Ora,1
Ellie Goulding,Kesha,1
Christina Aguilera,Jessie J,1
Demi Lovato,Hailee Steinfeld,1
Christina Aguilera,Ellie Goulding,1
Fifth Harmony,Sofia Carson,1
Christina Aguilera,Natasha Bedingfield,1
Camila Cabello,Katy Perry,1
Christina Aguilera,Jessica Simpson,1
Gwen Stefani,Kelly Clarkson,1
Little Mix,The Vamps,1
Bebe Rexha,Kesha,1
Christina Aguilera,Miley Cyrus,1
Bebe Rexha,Camila Cabello,1
Christina Aguilera,Jennifer Lopez,1
Selena Gomez & The Scene,Victorious Cast,1
Christina Aguilera,Hilary Duff,1
Britney Spears,Madonna,1
Demi Lovato,Fifth Harmony,1
Beyoncé,Lady Gaga,1
Fifth Harmony,Nick Jonas,1
Hailee Steinfeld,Selena Gomez,1
JoJo,Kelly Clarkson,1
Dua Lipa,Zara Larsson,1
Dua Lipa,Rita Ora,1
Katy Perry,Selena Gomez,1
Avril Lavigne,Nelly Furtado,1
Avril Lavigne,Kelly Clarkson,1
Jessie J,Rita Ora,1
Demi Lovato,Meghan Trainor,1
Kelly Clarkson,Miley Cyrus,1
